shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,4.293152093887329,4.342506016890208,4.664115381240845,3.886080026626587,A,1.0,1.0,0.0,238519.38566490353,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,B,packed_qkv,True,manual,False,,False,none,,none,,False,PASS,,0,0.0,0.0,3.8236160278320312,3.844945809841156,3.999436688423158,3.4897921085357666,A,1.1227989585349454,1.1227989585349454,-10.93686074443606,267809.3178149487,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,C,sdpa,False,sdpa,True,auto,False,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,3.44268798828125,3.4878577081362407,3.715670394897461,3.136512041091919,A,1.2470349065907278,1.2470349065907278,-19.809782812423204,297441.99982271076,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,D,mask_skip,False,manual,False,,True,none,,none,,False,PASS,,0,0.0,0.0,3.175424098968506,3.2286409576733908,3.4242560863494873,2.876415967941284,A,1.3519932960393863,1.3519932960393863,-26.035136200049035,322476.6103943825,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,E,packed_qkv+sdpa,True,sdpa,True,auto,False,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,3.123199939727783,3.174762241045634,3.41811203956604,2.8663039207458496,A,1.3746004664246754,1.3746004664246754,-27.25158877611967,327868.85878630343,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,F,packed_qkv+mask_skip,True,manual,False,,True,none,,none,,False,PASS,,0,0.0,0.0,2.858496069908142,2.9059572259585065,3.1250431060791026,2.5978879928588867,A,1.5018919001086084,1.5018919001086084,-33.4173118632782,358230.33334899996,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,G,sdpa+mask_skip,False,sdpa,True,auto,True,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,2.075648069381714,2.0908147247632343,2.2037760734558107,1.8728959560394287,A,2.0683429706685086,2.0683429706685086,-51.652118909622125,493339.8947081743,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,1.7638399600982666,1.8051489063103994,1.9382271766662598,1.679360032081604,A,2.4339805146767115,2.4339805146767115,-58.9150367486478,580551.537081035,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
