shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,4.066224098205566,4.170025818347931,4.538895893096925,3.9966719150543213,A,1.0,1.0,0.0,251830.68499640573,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,0.0011156201362609863,229.7279815673828,1.7699840068817139,1.7866266663869221,1.9057663679122925,1.6906239986419678,A,2.2973225082238313,2.2973225082238313,-56.47106592913038,578536.3009036685,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,I,full+gelu_tanh,True,sdpa,True,auto,True,tanh,,none,,False,PASS,,0,0.0013158917427062988,217.53912353515625,1.7705920338630676,1.806397126118342,1.8783231973648074,1.6834559440612793,A,2.2965336003087633,2.2965336003087633,-56.456112818660586,578337.6296830177,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,0.0012108683586120605,177.34634399414062,1.6337920427322388,1.697734075387319,2.036400032043457,1.5749119520187378,A,2.4888259899990084,2.4888259899990084,-59.82041315791634,626762.7538983079,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,M,full+tanh+compile,True,sdpa,True,auto,True,tanh,,none,,True,PASS,,0,0.0013447701930999756,183.84295654296875,1.6302080154418945,1.6793458131949106,1.8997248411178589,1.575935959815979,A,2.4942976967901545,2.4942976967901545,-59.908554568812164,628140.6975676218,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,N,full+fast_dtype+compile,True,sdpa,True,auto,True,none,torch.float16,none,,True,PASS,,0,0.0060994625091552734,480.4393005371094,0.724480003118515,0.7752950417995453,1.0096640586853027,0.6922240257263184,A,5.612610535422036,5.612610535422036,-82.18297895981115,1413427.5557533747,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
,O,full+tanh+fast_dtype+compile,True,sdpa,True,auto,True,tanh,torch.float16,none,,True,PASS,,0,0.0063631534576416016,402.8741149902344,0.7275519967079163,0.7932460790872574,1.0190656065940857,0.6901760101318359,A,5.588912018116551,5.588912018116551,-82.10742991196707,1407459.5419069354,cuda,torch.float32,8,128,512,8,2048,6,True,0.0
