shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,110.10304260253906,110.14798016018338,110.47454910278321,109.8782730102539,A,1.0,1.0,0.0,595224.2413189105,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,4.0531158447265625e-06,117844.0234375,27.795455932617188,27.834654977586535,27.98975353240967,27.648000717163086,A,3.961188579509366,3.961188579509366,-74.75505192626149,2357795.4669595957,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.814697265625e-06,249824.75,24.163328170776367,24.24571984608968,24.654012489318845,24.011775970458984,A,4.556617442116272,4.556617442116272,-78.05389605989042,2712209.1599641726,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,N,full+fast_dtype+compile,True,sdpa,True,auto,True,none,torch.float16,none,,True,FAIL,,43009,0.005788326263427734,231545024.0,4.386816024780273,4.510466490851508,4.965273714065551,4.369408130645752,A,25.098623233932837,25.098623233932837,-96.0157177121651,14939308.972566854,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,P,selective+flash_attn,True,flash-attn,False,,True,none,torch.float16,attention_projection,,False,FAIL,,1244,0.003736048936843872,330319936.0,8.991231918334961,9.067038631439209,9.404006671905517,8.885248184204102,A,12.245601448452957,12.245601448452957,-91.83380249463913,7288878.831649164,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,NFA,full+fast_dtype+compile+flash_attn,True,flash-attn,False,,True,none,torch.float16,none,,True,FAIL,,42905,0.0057773590087890625,220847072.0,3.9720959663391113,4.101355714268155,4.570828771591187,3.951616048812866,A,27.719129531509207,27.719129531509207,-96.39238310545333,16499097.845413176,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
