shape_id,variant,name,packed_qkv,attention_impl,sdpa,sdpa_backend,mask_skip,gelu_approx,fast_dtype,selective_precision,selective_layers,compile_candidate,accuracy,error,failed_elements,max_abs_error,max_relative_error,median_ms,mean_ms,p90_ms,min_ms,reference_variant,speedup_vs_reference,speedup_vs_A,latency_delta_percent,tokens_per_second,device,dtype,batch_size,seq_len,d_model,heads,ffn_dim,layers,causal,padding_ratio
,A,baseline,False,manual,False,,False,none,,none,,False,REF,,0,0.0,0.0,110.0579833984375,110.13447969224718,110.39454498291016,109.80863952636719,A,1.0,1.0,0.0,595467.934050211,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,H,full,True,sdpa,True,auto,True,none,,none,,False,PASS,,0,4.0531158447265625e-06,117844.0234375,27.322368621826172,27.34133726755778,27.48231620788574,27.167743682861328,A,4.028127462950591,4.028127462950591,-75.17456909698923,2398620.7384541063,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,L,full+compile,True,sdpa,True,auto,True,none,,none,,True,PASS,,0,3.814697265625e-06,249824.75,23.705599784851074,23.795465596516927,24.203120040893555,23.587839126586914,A,4.642699800777427,4.642699800777427,-78.46080851851441,2764578.8587842607,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,U,selective+attention_core,True,sdpa,True,auto,True,none,torch.float16,attention_core,,False,PASS,,0,0.0018612444400787354,157583152.0,13.604864120483398,13.672619406382243,14.189801502227784,13.241344451904297,A,8.089605484022062,8.089605484022062,-87.63845774710374,4817100.664851875,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,LFA,attention_core+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_core,,True,PASS,,0,0.0018703043460845947,160318560.0,7.6718080043792725,7.752747747633192,8.148172664642335,7.566336154937744,A,14.34576873347371,14.34576873347371,-93.02930349304566,8542445.270083701,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,VFA,attention_projection+flash_attn+compile,True,flash-attn,False,,True,none,torch.float16,attention_projection,,True,FAIL,,1138,0.004304707050323486,175919488.0,5.244927883148193,5.338925494088067,5.749862527847291,5.196800231933594,A,20.983698127108806,20.983698127108806,-95.23439579647736,12495119.372482764,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
,NFA,full+fast_dtype+compile+flash_attn,True,flash-attn,False,,True,none,torch.float16,none,,True,FAIL,,42905,0.0057773590087890625,220847072.0,4.0023040771484375,4.113630580902099,4.536422586441041,3.9720959663391113,A,27.49865609333003,27.49865609333003,-96.36345864828442,16374567.933052478,cuda,torch.float32,64,1024,128,4,128,4,True,0.0
